time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-05 00:00:00+00:00,7,6,2,2
2023-05-06 00:00:00+00:00,6,5,1,1
2023-05-07 00:00:00+00:00,5,4,2,2
2023-05-08 00:00:00+00:00,10,8,7,6
2023-05-09 00:00:00+00:00,6,5,3,2
2023-05-10 00:00:00+00:00,5,4,4,4
2023-05-11 00:00:00+00:00,5,4,8,7
2023-05-12 00:00:00+00:00,5,4,12,7
2023-05-13 00:00:00+00:00,4,4,0,0
2023-05-14 00:00:00+00:00,6,5,3,2
2023-05-15 00:00:00+00:00,6,5,0,0
2023-05-16 00:00:00+00:00,6,5,7,6
2023-05-17 00:00:00+00:00,10,8,9,8
2023-05-18 00:00:00+00:00,6,5,2,2
2023-05-19 00:00:00+00:00,5,4,3,3
2023-05-20 00:00:00+00:00,5,4,2,2
2023-05-21 00:00:00+00:00,8,6,4,4
2023-05-22 00:00:00+00:00,6,5,4,4
2023-05-23 00:00:00+00:00,5,4,9,8
2023-05-24 00:00:00+00:00,5,4,6,6
2023-05-25 00:00:00+00:00,5,4,11,9
2023-05-26 00:00:00+00:00,7,6,10,7
2023-05-27 00:00:00+00:00,8,6,3,3
2023-05-28 00:00:00+00:00,9,7,2,2
2023-05-29 00:00:00+00:00,9,7,6,5
2023-05-30 00:00:00+00:00,7,6,21,5
2023-05-31 00:00:00+00:00,6,5,6,5
2023-06-01 00:00:00+00:00,6,5,8,7
2023-06-02 00:00:00+00:00,6,5,2,2
2023-06-03 00:00:00+00:00,5,4,2,2
2023-06-04 00:00:00+00:00,5,4,5,3
2023-06-05 00:00:00+00:00,6,5,5,5
2023-06-06 00:00:00+00:00,5,4,5,5
2023-06-07 00:00:00+00:00,6,5,5,4
2023-06-08 00:00:00+00:00,8,7,7,4
2023-06-09 00:00:00+00:00,6,5,5,3
2023-06-10 00:00:00+00:00,9,5,1,1
2023-06-11 00:00:00+00:00,15,6,3,3
2023-06-12 00:00:00+00:00,41,8,5,5
2023-06-13 00:00:00+00:00,8,7,6,5
2023-06-14 00:00:00+00:00,11,10,12,8
2023-06-15 00:00:00+00:00,8,7,5,3
2023-06-16 00:00:00+00:00,8,7,18,17
2023-06-17 00:00:00+00:00,6,5,2,2
2023-06-18 00:00:00+00:00,5,4,0,0
2023-06-19 00:00:00+00:00,17,6,7,7
2023-06-20 00:00:00+00:00,10,5,8,6
2023-06-21 00:00:00+00:00,6,5,10,8
2023-06-22 00:00:00+00:00,12,8,4,4
2023-06-23 00:00:00+00:00,7,5,8,7
2023-06-24 00:00:00+00:00,9,6,5,4
2023-06-25 00:00:00+00:00,9,7,0,0
2023-06-26 00:00:00+00:00,6,5,4,4
2023-06-27 00:00:00+00:00,4,4,2,2
